,subject_id,block_condition,reval_score,accuracy,age,categorical_age,block_order,environment,rest,second_stage_test,last_10_accuracy
123,7111,Control,0.0,1.0,8.49,Children,1.0,canyon,Rest,0.875,1.0
124,7113,Control,0.0,1.0,8.41,Children,2.0,ocean,Rest,1.0,1.0
125,7114,Control,0.0,1.0,8.51,Children,1.0,ocean,Rest,0.875,1.0
126,7120,Control,0.0,1.0,8.72,Children,2.0,canyon,Rest,0.875,1.0
127,7123,Control,0.0,1.0,8.44,Children,1.0,ocean,Rest,0.5,1.0
128,7131,Control,0.0,1.0,9.36,Children,1.0,ocean,Rest,1.0,1.0
129,7137,Control,0.0,1.0,9.98,Children,2.0,canyon,Rest,1.0,1.0
130,7144,Control,0.0,1.0,9.21,Children,2.0,canyon,Rest,1.0,1.0
131,7277,Control,0.0,1.0,9.85,Children,2.0,canyon,Rest,0.5,1.0
132,7279,Control,0.25,0.75,10.41,Children,1.0,ocean,Rest,0.875,1.0
133,7281,Control,0.0,1.0,10.14,Children,1.0,canyon,Rest,0.875,1.0
134,7283,Control,0.0,1.0,10.77,Children,1.0,canyon,Rest,1.0,1.0
135,7285,Control,0.0,1.0,10.18,Children,1.0,ocean,Rest,1.0,1.0
136,7289,Control,0.0,1.0,10.91,Children,2.0,canyon,Rest,0.875,1.0
137,7292,Control,0.0,1.0,10.72,Children,1.0,ocean,Rest,1.0,1.0
138,7293,Control,0.5,0.5,10.88,Children,2.0,canyon,Rest,1.0,1.0
139,7299,Control,0.0,1.0,11.88,Children,1.0,ocean,Rest,1.0,1.0
140,7300,Control,0.050000000000000044,0.75,11.97,Children,1.0,canyon,Rest,1.0,0.7
141,7301,Control,0.0,1.0,11.83,Children,1.0,ocean,Rest,1.0,1.0
142,7305,Control,0.0,1.0,11.24,Children,2.0,canyon,Rest,1.0,1.0
143,7306,Control,1.0,0.0,11.54,Children,2.0,ocean,Rest,0.625,1.0
144,7307,Control,0.0,1.0,11.48,Children,1.0,ocean,Rest,1.0,1.0
145,7313,Control,0.5,0.5,11.82,Children,2.0,ocean,Rest,1.0,1.0
146,7315,Control,0.0,1.0,12.99,Children,2.0,canyon,Rest,1.0,1.0
147,7317,Control,0.0,1.0,12.25,Children,1.0,ocean,Rest,1.0,1.0
148,7321,Control,0.0,1.0,12.14,Children,1.0,ocean,Rest,1.0,1.0
149,7323,Control,0.5,0.5,12.82,Children,2.0,canyon,Rest,0.875,1.0
150,7327,Control,0.0,1.0,12.72,Children,1.0,canyon,Rest,1.0,1.0
151,7330,Control,0.75,0.25,12.33,Children,1.0,ocean,Rest,0.875,1.0
152,7331,Control,0.5,0.5,12.74,Children,1.0,canyon,Rest,1.0,1.0
153,7334,Control,0.0,1.0,13.03,Adolescents,2.0,ocean,Rest,1.0,1.0
154,7336,Control,0.0,1.0,13.09,Adolescents,1.0,canyon,Rest,1.0,1.0
155,7337,Control,0.5,0.5,13.19,Adolescents,2.0,ocean,Rest,0.75,1.0
156,7341,Control,0.5,0.5,13.97,Adolescents,2.0,canyon,Rest,0.5,1.0
157,7345,Control,0.0,1.0,13.33,Adolescents,2.0,canyon,Rest,1.0,1.0
158,7346,Control,0.0,1.0,13.35,Adolescents,1.0,canyon,Rest,1.0,1.0
159,7350,Control,0.0,1.0,13.73,Adolescents,2.0,canyon,Rest,1.0,1.0
160,7354,Control,0.0,1.0,14.21,Adolescents,2.0,canyon,Rest,1.0,1.0
161,7357,Control,0.0,1.0,14.74,Adolescents,1.0,canyon,Rest,1.0,1.0
162,7370,Control,0.5,0.5,15.54,Adolescents,2.0,canyon,Rest,0.875,1.0
163,7372,Control,0.5,0.5,15.63,Adolescents,1.0,canyon,Rest,0.75,1.0
164,7383,Control,0.75,0.25,15.04,Adolescents,2.0,ocean,Rest,0.625,1.0
165,7384,Control,1.0,0.0,15.66,Adolescents,1.0,ocean,Rest,0.875,1.0
166,7385,Control,0.0,1.0,15.56,Adolescents,2.0,ocean,Rest,1.0,1.0
167,7386,Control,1.0,0.0,15.28,Adolescents,1.0,ocean,Rest,0.875,1.0
168,7388,Control,1.0,0.0,16.72,Adolescents,1.0,canyon,Rest,1.0,1.0
169,7394,Control,0.0,1.0,16.82,Adolescents,1.0,ocean,Rest,0.875,1.0
170,7395,Control,0.75,0.25,16.62,Adolescents,1.0,ocean,Rest,1.0,1.0
171,7397,Control,0.0,1.0,16.03,Adolescents,2.0,ocean,Rest,1.0,1.0
172,7404,Control,1.0,0.0,16.61,Adolescents,1.0,canyon,Rest,0.5,1.0
173,7405,Control,0.75,0.25,17.26,Adolescents,2.0,ocean,Rest,0.0,1.0
174,7411,Control,0.0,1.0,17.43,Adolescents,2.0,ocean,Rest,1.0,1.0
175,7412,Control,0.0,1.0,17.82,Adolescents,2.0,ocean,Rest,1.0,1.0
176,7414,Control,0.0,1.0,17.43,Adolescents,2.0,canyon,Rest,1.0,1.0
177,7416,Control,0.4,0.5,17.81,Adolescents,2.0,canyon,Rest,1.0,0.9
178,7419,Control,0.0,1.0,17.68,Adolescents,2.0,ocean,Rest,1.0,1.0
179,7426,Control,1.0,0.0,18.85,Adults,1.0,canyon,Rest,1.0,1.0
180,7431,Control,0.0,1.0,18.75,Adults,2.0,canyon,Rest,1.0,1.0
181,7432,Control,0.0,1.0,18.61,Adults,1.0,ocean,Rest,1.0,1.0
182,7433,Control,-0.09999999999999998,1.0,18.53,Adults,1.0,canyon,Rest,1.0,0.9
183,7436,Control,0.0,1.0,18.42,Adults,1.0,ocean,Rest,1.0,1.0
184,7442,Control,0.0,1.0,19.9,Adults,2.0,ocean,Rest,1.0,1.0
185,7444,Control,0.25,0.75,19.87,Adults,2.0,canyon,Rest,1.0,1.0
186,7446,Control,0.5,0.5,19.06,Adults,2.0,canyon,Rest,1.0,1.0
187,7447,Control,0.0,1.0,19.31,Adults,2.0,canyon,Rest,1.0,1.0
188,7451,Control,0.0,1.0,19.15,Adults,1.0,ocean,Rest,1.0,1.0
189,7456,Control,0.0,1.0,19.6,Adults,2.0,ocean,Rest,1.0,1.0
190,7457,Control,0.0,1.0,19.53,Adults,1.0,canyon,Rest,1.0,1.0
191,7463,Control,0.0,1.0,20.84,Adults,1.0,canyon,Rest,1.0,1.0
192,7464,Control,0.0,1.0,20.24,Adults,2.0,ocean,Rest,0.875,1.0
193,7472,Control,0.0,1.0,20.16,Adults,2.0,canyon,Rest,1.0,1.0
194,7475,Control,0.9,0.0,20.18,Adults,1.0,canyon,Rest,1.0,0.9
195,7476,Control,0.0,1.0,20.63,Adults,1.0,ocean,Rest,1.0,1.0
196,7479,Control,0.75,0.25,21.28,Adults,1.0,ocean,Rest,1.0,1.0
197,7480,Control,0.0,1.0,21.43,Adults,2.0,canyon,Rest,1.0,1.0
198,7484,Control,0.0,1.0,21.55,Adults,2.0,ocean,Rest,1.0,1.0
199,7485,Control,0.0,1.0,21.53,Adults,1.0,ocean,Rest,0.875,1.0
200,7487,Control,0.0,1.0,21.27,Adults,1.0,canyon,Rest,1.0,1.0
201,7494,Control,0.0,1.0,21.25,Adults,1.0,canyon,Rest,0.875,1.0
202,7496,Control,0.5,0.5,22.92,Adults,2.0,ocean,Rest,1.0,1.0
203,7497,Control,1.0,0.0,22.17,Adults,1.0,ocean,Rest,1.0,1.0
204,7505,Control,0.0,1.0,22.4,Adults,1.0,ocean,Rest,1.0,1.0
205,7513,Control,0.25,0.75,23.74,Adults,1.0,ocean,Rest,1.0,1.0
206,7514,Control,0.0,1.0,23.82,Adults,2.0,ocean,Rest,1.0,1.0
207,7521,Control,0.25,0.75,23.7,Adults,2.0,canyon,Rest,1.0,1.0
208,7530,Control,0.0,1.0,23.14,Adults,1.0,ocean,Rest,0.875,1.0
209,7535,Control,0.75,0.25,14.22,Adolescents,2.0,ocean,Rest,1.0,1.0
210,7541,Control,0.0,1.0,9.16,Children,1.0,ocean,Rest,1.0,1.0
211,7774,Control,0.0,1.0,7.83,Children,2.0,ocean,Rest,0.5,1.0
212,7776,Control,0.0,1.0,8.67,Children,1.0,canyon,Rest,1.0,1.0
213,7782,Control,0.0,1.0,18.56,Adults,1.0,canyon,Rest,1.0,1.0
214,7785,Control,0.0,1.0,20.13,Adults,2.0,canyon,Rest,1.0,1.0
215,7787,Control,0.5,0.5,20.35,Adults,2.0,ocean,Rest,0.5,1.0
216,7792,Control,0.0,1.0,22.77,Adults,1.0,ocean,Rest,1.0,1.0
217,7793,Control,0.75,0.25,22.39,Adults,1.0,ocean,Rest,1.0,1.0
218,7798,Control,0.25,0.75,23.66,Adults,1.0,canyon,Rest,1.0,1.0
219,7802,Control,0.0,1.0,15.37,Adolescents,1.0,ocean,Rest,0.75,1.0
220,7960,Control,0.0,1.0,14.25,Adolescents,1.0,canyon,Rest,1.0,1.0
221,7961,Control,0.0,1.0,14.18,Adolescents,2.0,ocean,Rest,1.0,1.0
222,7962,Control,0.0,1.0,14.85,Adolescents,2.0,canyon,Rest,0.875,1.0
223,7969,Control,0.0,1.0,14.2,Adolescents,2.0,ocean,Rest,1.0,1.0
224,7973,Control,0.5,0.5,16.89,Adolescents,1.0,ocean,Rest,1.0,1.0
225,7982,Control,0.75,0.25,17.66,Adolescents,2.0,canyon,Rest,0.375,1.0
226,7987,Control,0.0,1.0,21.3,Adults,1.0,ocean,Rest,0.875,1.0
227,7988,Control,-0.09999999999999998,1.0,22.72,Adults,1.0,canyon,Rest,1.0,0.9
228,7991,Control,0.5,0.5,23.54,Adults,2.0,ocean,Rest,1.0,1.0
229,7995,Control,0.0,1.0,23.72,Adults,2.0,canyon,Rest,1.0,1.0
230,8091,Control,0.5,0.5,16.27,Adolescents,1.0,canyon,Rest,0.5,1.0
231,8152,Control,0.75,0.25,7.69,Children,1.0,ocean,Rest,0.625,1.0
232,8153,Control,0.0,1.0,9.8,Children,2.0,ocean,Rest,1.0,1.0
233,8155,Control,0.0,1.0,9.82,Children,1.0,canyon,Rest,0.875,1.0
234,8161,Control,0.5,0.5,18.87,Adults,2.0,canyon,Rest,0.75,1.0
235,8163,Control,-0.09999999999999998,1.0,20.41,Adults,1.0,ocean,Rest,1.0,0.9
236,9609,Control,1.0,0.0,7.45,Children,2.0,ocean,Rest,0.375,1.0
237,9633,Control,-0.19999999999999996,1.0,7.6,Children,1.0,ocean,Rest,1.0,0.8
